Page,Important Sentence,Score,Keywords,Entities
36,"also apply where a person who is initially not a party to the court
proceedings fabricates certain evidence, and
1) subsequently becomes a party and produces it before the
Court; or;
2) falsely deposes as a witness before the Court on the strength of
such evidence,
for the purpose of causing the Court to form an erroneous
opinion on a point material to the result of the proceedings.",4.7191,"person, party, court, proceedings, evidence, Court, witness","[('1', 'CARDINAL'), ('2', 'CARDINAL'), ('Court', 'ORG'), ('Court', 'ORG')]"
36,"There is
an indirect nexus inasmuch as if the investigating agency does
not suspect any wrongdoing, and the Court commits the case for
trial, the evidence will be produced for the Court’s perusal and
impact the judicial decision­making process.",4.3362,"nexus, agency, wrongdoing, Court, case, trial, evidence","[('Court', 'ORG'), ('Court', 'ORG')]"
36,"However, it may be
equally possible that even if the fabricated evidence appears
sufficiently convincing, the investigating agency may drop
proceedings against the accused and divert its time and
resources elsewhere.",3.7522,"evidence, agency, proceedings, time, resources",[]
37,"In this regard, we consider it beneficial to refer to the
portion of the opinion expressed by the Constitution Bench in
Iqbal Singh Marwah (supra) as to why a narrow interpretation
of Section 195(1)(b)(ii), CrPC was necessary to avoid
impracticality or injustice in its implementation:
“23…Before filing of the complaint, the court may
hold a preliminary enquiry and record a finding to the
effect that it is expedient in the interests of justice
that enquiry should be made into any of the offences
referred to in Section 195(1)(b).",5.9703,"regard, portion, opinion, Constitution, Bench, Iqbal, Singh","[('the Constitution Bench', 'LAW'), ('Iqbal Singh Marwah', 'PERSON'), ('Section 195(1)(b)(ii', 'LAW'), ('CrPC', 'ORG'), ('23…Before', 'WORK_OF_ART')]"
37,"This expediency will
normally be judged by the court by weighing not the
magnitude of injury suffered by the person affected
by such forgery or forged document, but having
regard to the effect or impact, such commission of
offence has upon administration of justice.",4.4476,"expediency, court, magnitude, injury, person, forgery, document",[]
37,"It is
possible that such forged document or forgery may
cause a very serious or substantial injury to a person
in the sense that it may deprive him of a very
valuable property or status or the like, but such
document may be just a piece of evidence produced
or given in evidence in court, where voluminous
evidence may have been adduced and the effect of
such piece of evidence on the broad concept of
37",4.8067,"document, forgery, injury, person, sense, property, status","[('37', 'CARDINAL')]"
38,"Section 343(2) confers a discretion upon a court
trying the complaint to adjourn the hearing of the
case if it is brought to its notice that an appeal is
pending against the decision arrived at in the judicial
proceeding out of which the matter has arisen.",4.2716,"Section, discretion, court, complaint, hearing, case, notice",[]
38,"In
view of these provisions, the complaint case may not
proceed at all for decades specially in matters arising
out of civil suits where decisions are challenged in
successive appellate fora which are time­consuming.",4.1469,"view, provisions, complaint, case, decades, matters, suits","[('decades', 'DATE')]"
39,"It will not be fair and proper to give an
interpretation which leads to a situation where a
person alleged to have committed an offence of the
type enumerated in clause (b)(ii) is either not placed
for trial on account of non­filing of a complaint or if a
complaint is filed, the same does not come to its
logical end.",4.7768,"interpretation, situation, person, offence, type, clause, b)(ii",[]
39,"It is possible that Courts may be more pro­active in making
complaints under Section 195(1)(b)(i), CrPC upon application
made by the concerned investigative agencies, than in those
preferred by private parties.",3.8584,"Courts, complaints, Section, 195(1)(b)(i, CrPC, application, agencies","[('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG')]"
39,"Therefore, the aforementioned reasons assigned by the
Constitution Bench in Iqbal Singh Marwah for adopting a
narrow construction of Section 195(1)(b)(ii), CrPC may not be
strictly applicable in the present case.",4.1666,"reasons, Constitution, Bench, Iqbal, Singh, Marwah, construction","[('Iqbal Singh Marwah', 'PERSON'), ('Section 195(1)(b)(ii', 'LAW'), ('CrPC', 'ORG')]"
40,"Just like a private party who has been a victim of
forgery committed outside the precincts of the Court, the
investigative agency should not be left remediless against persons
who have producing false evidence for the purpose of interfering
with the investigation process.",4.5418,"party, victim, forgery, precincts, Court, agency, persons","[('Court', 'ORG')]"
41,"Hence it would
not be possible for the Court to independently ascertain the need
for lodging a complaint under Section 195(1)(b)(i) read with
Section 340, CrPC when the evidence alleged to have been
falsified is not even present on its records.",3.9335,"Court, need, complaint, Section, 195(1)(b)(i, CrPC, evidence","[('Court', 'ORG'), ('Section 195(1)(b)(i', 'LAW'), ('Section 340', 'LAW'), ('CrPC', 'ORG')]"
41,"In case the bar under Section 195(1)(b)(i) is applied to
offences committed during the course of investigation, the Court
may think it fit to wait till the completion of trial to evaluate
whether a complaint should be made or not.",3.9779,"case, Section, 195(1)(b)(i, offences, course, investigation, Court","[('Section 195(1)(b)(i', 'LAW'), ('Court', 'ORG')]"
41,"Subsequently, the
Court may be of the opinion that in the larger scheme of things
the alleged fabrication of evidence during investigation has not
had any material impact on the trial, and decline to initiate
prosecution for the same.",3.8703,"Court, opinion, scheme, things, fabrication, evidence, investigation",[]
42,"Further, irrespective of the potential
impact that such false evidence may have on the opinion formed
by the trial court, the investigating agency has a separate right to
proceed against the accused for attempting to obstruct fair and
transparent probe into a criminal offence.",4.4844,"impact, evidence, opinion, trial, court, agency, right",[]
42,"It must be clarified that the aforementioned opinion
expressed by us is limited to factual situations such as the
present case wherein the fabricated evidence has been detected
prior to commencement of the trial, or without such trial having
been initiated in the first place.",4.1514,"opinion, situations, case, evidence, commencement, trial, place","[('first', 'ORDINAL')]"
42,"The same may not apply for
example, where the investigation agency on the basis of false
evidence given by a third party happens to wrongfully implicate a
person, other than the real perpetrator, for a particular offence.",3.9798,"example, investigation, agency, basis, evidence, party, person","[('third', 'ORDINAL')]"
43,"Since by this stage, the evidence has been produced before the
Court, and contains potential for directly impacting the formation
of the Court’s opinion on the innocence or guilt of the accused
person, invoking the bar under Section 195(1)(b)(i) may not give
rise to much difficulty.",4.269,"stage, evidence, Court, potential, formation, opinion, innocence","[('the\nCourt', 'ORG'), ('Court', 'ORG'), ('Section 195(1)(b)(i', 'LAW')]"
43,"In this regard, we also find it necessary to distinguish
the three­Judge Bench decision of this Court in Arvindervir
Singh v. State of Punjab and Another, (1998) 6 SCC 352 from
the present case.",3.8747,"regard, Bench, decision, Court, Arvindervir, Singh, State","[('Bench', 'ORG'), ('Court', 'ORG'), ('Arvindervir', 'ORG'), ('Singh v. State of Punjab', 'GPE'), ('1998', 'DATE'), ('6', 'CARDINAL'), ('352', 'CARDINAL')]"
44,"Haryana Bar Association, directed the CBI to conduct an
independent investigation [Punjab and Haryana High Court
Bar Association, Chandigarh Through its Secretary v. State
of Punjab and Others, (1994) 1 SCC 616].",3.7941,"Haryana, Association, investigation, Punjab, High, Court, Chandigarh","[('Haryana Bar Association', 'ORG'), ('CBI', 'ORG'), ('Punjab', 'NORP'), ('Haryana High Court', 'PERSON'), ('Chandigarh Through', 'ORG'), ('Punjab and Others', 'WORK_OF_ART'), ('1994', 'DATE'), ('1', 'CARDINAL'), ('616', 'CARDINAL')]"
44,"This Court in Arvindervir Singh clarified that challan was
to be filed directly by the CBI only in respect of the offence of
abduction and murder alleged to have been committed by the
appellant­accused.",3.8175,"Court, Arvindervir, Singh, challan, respect, offence, abduction","[('Arvindervir Singh', 'PERSON'), ('CBI', 'ORG')]"
44,"So far as the offence punishable under
Sections 193 and 211, IPC was concerned it was for the
designated trial court to make a written complaint to a Magistrate
having jurisdiction.",3.9801,"offence, Sections, trial, court, complaint, Magistrate, jurisdiction","[('193', 'CARDINAL'), ('211', 'CARDINAL'), ('IPC', 'ORG'), ('Magistrate', 'ORG')]"
45,"The last point that remains to be considered is the effect
of Explanation 2 to Section 193, IPC which deems an
investigation preliminary to a proceeding before a Court of
Justice to be a “stage of a judicial proceeding” for the purposes of
the Section.",3.9832,"point, effect, Explanation, Section, investigation, proceeding, Court","[('Explanation 2 to Section 193', 'LAW'), ('IPC', 'ORG'), ('Court', 'ORG')]"
45,"This
gives rise to the question of whether an offence committed during
the investigation, which is a “stage of a judicial proceeding”
under Explanation 2, Section 193, IPC, would be an offence
committed “in relation to any proceeding in any Court” under
Section 195(1)(b)(i), CrPC.
45",4.0547,"rise, question, offence, investigation, stage, proceeding, Explanation","[('Section 193', 'LAW'), ('IPC', 'ORG'), ('Court', 'ORG'), ('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG'), ('45', 'CARDINAL')]"
46,"The purpose of Explanation 2 to Section 193, IPC is
evidently to ensure that a person who fabricates false evidence
before an investigating or inquiring authority prior to the trial of
the case does not escape penalty.",4.2781,"purpose, Explanation, Section, person, evidence, authority, trial","[('Explanation 2 to Section 193', 'LAW'), ('IPC', 'ORG')]"
46,"20.2 The object and purpose of Section 195(1)(b), CrPC must
be borne in mind whilst determining whether the fabrication of
false evidence during a stage of a judicial proceeding amounts to
having made such fabrication in relation to a proceeding before
the Court.",4.1074,"object, purpose, Section, CrPC, mind, fabrication, evidence","[('20.2', 'CARDINAL'), ('CrPC', 'ORG'), ('Court', 'ORG')]"
47,"Furthermore, for the
purpose of Section 195(1)(b)(i), CrPC, there must be an intention
on part of the alleged offender to directly mislead the Court into
forming a certain opinion by commission of offence under Section
193, IPC.",4.055,"purpose, Section, 195(1)(b)(i, CrPC, intention, offender, Court","[('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG'), ('Court', 'ORG'), ('IPC', 'ORG')]"
47,"Though a criminal investigation is certainly a stage of a
judicial proceeding insofar as it may culminate in issue of
process and trial against the accused, it would not be a
proceeding in relation to a certain Court under Section 195(1)(b)
(i), CrPC before the Court has even taken judicial notice of such
investigation.",4.2341,"investigation, stage, proceeding, issue, process, trial, accused","[('Court', 'ORG'), ('Section 195(1)(b', 'LAW'), ('CrPC', 'ORG'), ('Court', 'ORG')]"
48,"Section 37(4) of the 1922 Act provided
that proceedings before the Income Tax authority shall be
deemed to be “judicial proceedings” (and not merely a stage of
such proceedings) under Section 193, IPC.",3.8308,"Section, 37(4, proceedings, Income, authority, stage","[('Section 37(4', 'LAW'), ('Income Tax', 'ORG'), ('Section 193', 'LAW'), ('IPC', 'ORG')]"
48,"It was in this context
that the majority of the Constitution Bench (K.C. Dasgupta J.,
dissenting) held that the expressions “judicial proceeding” under
the 1922 Act and “proceeding in any court” under Section 195(1)
(b), 1898 Code are synonymous.",4.0335,"context, majority, Constitution, Bench, K.C., Dasgupta, dissenting","[('the Constitution Bench', 'LAW'), ('Section 195(1', 'LAW'), ('1898', 'DATE')]"
48,"In Babita Lila and Another v. Union of India, (2016)
9 SCC 647, a Division Bench of this Court similarly considered
the jurisdiction of the Deputy Director of Income Tax to make a
complaint under Section 195(1)(b), CrPC in respect of false
statements given on oath during a search operation conducted
under the Income Tax Act, 1961.",5.3229,"Babita, Lila, Union, India, Division, Bench, Court","[('Babita Lila', 'PERSON'), ('Another v. Union of India', 'ORG'), ('2016', 'DATE'), ('9 SCC 647', 'PRODUCT'), ('Court', 'ORG'), ('Income Tax', 'ORG'), ('Section 195(1)(b', 'LAW'), ('CrPC', 'ORG'), ('the Income Tax Act', 'LAW'), ('1961', 'DATE')]"
49,"However, the Division
Bench, referring to Lalji Haridas, made an ancillary observation
that such search operation is deemed to be a “judicial
proceeding” under Section 193, CrPC, and that the relevant
Income Tax authority would be deemed to be a civil court for the
purpose of Section 195, CrPC.",4.5579,"Division, Bench, Lalji, Haridas, observation, search, operation","[('the Division\nBench', 'ORG'), ('Lalji Haridas', 'PERSON'), ('Section 193', 'LAW'), ('CrPC', 'ORG'), ('Income Tax', 'ORG'), ('Section 195', 'LAW'), ('CrPC', 'ORG')]"
49,"1 SCC 466, a three­Judge Bench of this
Court was faced with the issue of whether 195(1)(b)(i), CrPC
would bar a complaint under Sections 193, 199 and 201 of the
IPC alleging making of false statements in affidavit before the
Rent Control Officer under the U.P, Urban Buildings (Regulation
of Letting, Rent and Eviction) Act, 1972.",5.2582,"three­Judge, Bench, Court, issue, 195(1)(b)(i, CrPC, complaint","[('1', 'CARDINAL'), ('Bench', 'PERSON'), ('195(1)(b)(i', 'CARDINAL'), ('CrPC', 'ORG'), ('Sections 193', 'ORG'), ('199', 'CARDINAL'), ('201', 'CARDINAL'), ('IPC', 'ORG'), ('Letting, Rent and Eviction) Act', 'ORG'), ('1972', 'DATE')]"
49,"Similar to the
aforementioned income tax statutes, Section 34(2) of the 1972
Act provided that the District Magistrate or the prescribed
authority holding an inquiry under the Act shall be deemed to be
a Civil Court within the meaning of Sections 480 and 482 of the
49",4.8516,"income, statutes, Section, District, Magistrate, authority, inquiry","[('Section 34(2', 'LAW'), ('1972', 'DATE'), ('the District Magistrate', 'ORG'), ('Civil Court', 'ORG'), ('Sections 480', 'FAC'), ('482', 'CARDINAL'), ('49', 'CARDINAL')]"
50,"Hence, in view of the specific
provision made under Section 34(2) of the 1972 Act, the Rent
Control Officer would also be deemed to be a civil court and the
proceedings before him would be judicial proceedings.",3.7368,"view, provision, Section, Rent, Control, Officer, court","[('Section 34(2', 'LAW'), ('1972', 'DATE'), ('the Rent\nControl Officer', 'ORG')]"
50,"Even otherwise, on the facts of the case, the three­Judge Bench
found that abuse of criminal process had taken place and
observed that “chagrined and frustrated litigants should not be
permitted to give vent to their frustration by cheaply invoking the
jurisdiction of the criminal court” (Chandrapal Singh, (supra),
paragraph 14).",4.8401,"facts, case, three­Judge, Bench, abuse, process, place","[('Bench', 'PRODUCT'), ('Chandrapal Singh', 'PERSON'), ('14', 'CARDINAL')]"
51,"However, the facts of the
decisions in Lalji Haridas (supra), Babita Lila (supra) and
Chandrapal Singh (supra), are clearly distinguishable from the
present appeal as they all involve 1) False statements made on
oath or in affidavits, 2) in a judicial proceeding and 3) before an
authority which is expressly deemed under law to be a “court”.",4.7438,"facts, decisions, Lalji, Haridas, supra, Babita, Lila","[('Lalji Haridas', 'PERSON'), ('Babita Lila', 'PERSON'), ('Chandrapal Singh', 'PERSON'), ('1', 'CARDINAL'), ('2', 'CARDINAL'), ('3', 'CARDINAL')]"
51,"In the present case, pursuant to recovering the seized
currency from the Appellant’s house on 24.01.2001, the
Respondent initiated investigation under Section 13(2) read with
Section 13(1)(e), PC Act against him.",4.1625,"case, currency, Appellant, house, Respondent, investigation, Section","[('Appellant', 'PRODUCT'), ('24.01.2001', 'DATE'), ('Section 13(2', 'LAW')]"
51,"2 and 3, at the
behest of the Appellant, wrote letter dated 4.02.2002 to the
Superintendent of Police, CBI stating that the seized currency
was held by the Appellant as part of an escrow arrangement
amongst the parties.",4.0896,"behest, Appellant, letter, Superintendent, Police, currency, escrow","[('2', 'CARDINAL'), ('3', 'CARDINAL'), ('Appellant', 'PRODUCT'), ('CBI', 'ORG'), ('Appellant', 'PRODUCT')]"
52,"There was no involvement of the Trial
Court at this stage in as much as the letter dated 4.02.2002 and
the sale deed were obviously intended to convince the
investigation agency that the Appellant had not accumulated
disproportionate financial assets.",4.3379,"involvement, Trial, Court, stage, letter, sale, deed","[('the Trial\nCourt', 'ORG'), ('Appellant', 'ORG')]"
52,"Had the Respondent accepted
the veracity of the contents of this letter, they would not only
have dropped the investigation against Appellant/Accused No. 1
but also wrongfully returned the seized currency under the
mistaken impression that it was the property of Accused No. 2.",3.934,"Respondent, veracity, contents, letter, investigation, Appellant, currency","[('Appellant/Accused No', 'ORG'), ('1', 'CARDINAL'), ('2', 'CARDINAL')]"
53,"Hence
it cannot be said that the offence under Sections 120B read with
193, IPC was committed by the Appellants “in relation to” a
proceeding in a court under Section 195(1)(b)(i), CrPC.",3.7341,"offence, Sections, 120B, Appellants, relation, proceeding, court","[('193', 'CARDINAL'), ('IPC', 'ORG'), ('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG')]"
53,"However, neither was the
fabricated evidence in the present case given on oath before the
investigating officer, nor is the investigating authority under the
PC Act deemed to be a “court” for the purpose of Section 195(1)
(b), CrPC.",3.8642,"evidence, case, oath, officer, authority, court, purpose","[('Section 195(1', 'LAW'), ('CrPC', 'ORG')]"
54,"22.3 Had this been a case wherein the Respondent had not
developed any suspicion against Accused Nos. 2 and 3, and the
Trial Court had subsequently discovered the subterfuge caused
by them, we may have taken a different view.",3.8293,"case, Respondent, suspicion, Accused, Trial, Court, subterfuge","[('22.3', 'CARDINAL'), ('Accused Nos', 'PERSON'), ('2', 'CARDINAL'), ('3', 'CARDINAL'), ('Trial Court', 'ORG')]"
54,"As we have noted in
paragraph 18 (supra), where the fabrication of evidence has
escaped the scrutiny of the investigating agency, and the case is
subsequently brought to trial, such evidence would have direct
bearing on the trial court’s opinion and hence the bar under
Section 195(1)(b)(i), CrPC may be applicable.",4.5888,"paragraph, supra, fabrication, evidence, scrutiny, agency, case","[('18', 'DATE'), ('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG')]"
54,"Therefore, as stated by us in
paragraph 17.3 (supra), it would be unjust and impracticable to
insist upon the requirement of an independent inquiry and
written complaint by the Trial Court in such a scenario.
23.",3.8748,"paragraph, supra, requirement, inquiry, complaint, Trial, Court","[('17.3', 'CARDINAL'), ('the Trial Court', 'ORG'), ('23', 'CARDINAL')]"
55,"It is
improbable in the ordinary course of conduct that a person
would wait so long to claim an amount of approximately Rs. 80
lakhs which was required for completion of sale transaction.",3.9645,"course, conduct, person, lakhs, completion, sale, transaction","[('80', 'CARDINAL')]"
55,"Hence it is apparent that the Appellants/accused
entered into an elaborate conspiracy and attempted to create a
false circumstance of escrow transaction for the purpose of
shielding Appellant/Accused No. 1 from prosecution.",3.9214,"Appellants, conspiracy, circumstance, transaction, purpose, shielding, Appellant","[('Appellants', 'ORG'), ('Appellant/Accused No', 'WORK_OF_ART'), ('1', 'CARDINAL')]"
55,"In fact, the
High Court has shown great lenity by reducing the sentences
awarded to the Appellants/accused in view of their advanced age
55",3.7434,"fact, High, Court, lenity, sentences, Appellants, view","[('Appellants', 'ORG'), ('55', 'DATE')]"
56,"The questions of law formulated in paragraph 6
(supra) are answered as follows:
Section 195(1)(b)(i), CrPC will not bar
prosecution by the investigating agency for offence
punishable under Section 193, IPC, which is
committed during the stage of investigation.",4.4432,"questions, paragraph, supra, Section, 195(1)(b)(i, CrPC, prosecution","[('6', 'CARDINAL'), ('Section 195(1)(b)(i', 'LAW'), ('CrPC', 'ORG'), ('Section 193', 'LAW'), ('IPC', 'ORG')]"
56,"This is
provided that the investigating agency has lodged
complaint or registered the case under Section 193,
IPC prior to commencement of proceedings and
production of such evidence before the trial court.",3.9407,"agency, complaint, case, Section, commencement, proceedings, production","[('Section 193', 'LAW'), ('IPC', 'ORG')]"
57,"If any arrears of fine are remaining, the Appellants
shall pay the same within a period of not more than four weeks
from the date of this order.
………………………………………….J.
(MOHAN M. SHANTANAGOUDAR)
………………………………………....J.
(VINEET SARAN)
NEW DELHI;
MARCH 12, 2021
57",4.4441,"arrears, fine, Appellants, period, weeks, date, order","[('MOHAN M. SHANTANAGOUDAR', 'PERSON'), ('NEW DELHI', 'GPE'), ('MARCH 12, 2021', 'DATE'), ('57', 'CARDINAL')]"
